2006,3
2006,2
2006,34
2006,2
2006,33
2006,5
2006,2
2006,15
2006,1
2006,2
2006,2
2006,2
2006,21
2006,31
2006,11
2006,3
2006,12
2006,20
2006,8
2006,9
2006,4
2006,2
2006,4
2006,6
2006,3
2006,5
2006,1
2006,2
2006,2
2006,6
2006,4
2006,49
2006,27
2006,3
2006,2
2006,30
2006,3
2006,1
2006,4
2006,3
2006,24
2006,1
2006,1
2006,44
2006,22
2006,7
2006,14
2006,23
2006,7
2006,1
2006,1
2006,4
2006,4
2006,3
2006,2
2006,1
2006,5
2006,4
2006,3
2006,6
2006,3
2006,1
2006,2
2006,48
2006,26
2006,6
2006,6
2006,28
2006,1
2006,1
2006,1
2006,3
2006,27
2006,45
2006,1
2006,1
2006,1
2006,1
2006,18
2006,8
2006,23
2006,28
2006,15
2006,3
2006,3
2006,6
2006,1
2006,12
2006,1
2006,1
2006,6
2006,1
2006,2
2006,4
2006,3
2006,1
2006,1
2006,37
2006,1
2006,44
2006,12
2006,3
2006,25
2006,1
2006,1
2006,2
2006,3
2006,1
2006,20
2006,35
2006,1
2006,14
2006,6
2006,11
2006,15
2006,14
2006,1
2006,5
2006,6
2006,1
2006,8
2006,7
2006,2
2006,2
2006,2
2006,41
2006,1
2006,24
2006,14
2006,2
2006,29
2006,4
2006,2
2006,1
2006,1
2006,23
2006,1
2006,33
2006,1
2006,1
2006,16
2006,15
2006,3
2006,18
2006,12
2006,1
2006,3
2006,2
2006,2
2006,1
2006,7
2006,4
2006,1
2006,1
2006,21
2006,1
2006,38
2006,8
2006,3
2006,32
2006,2
2006,2
2006,1
2006,27
2006,1
2006,23
2006,8
2006,6
2006,9
2006,12
2006,12
2006,1
2006,2
2006,3
2006,2
2006,3
2006,1
2006,6
2006,3
2006,2
2006,4
2006,2
2006,1
2006,1
2006,22
2006,28
2006,4
2006,3
2006,46
2006,2
2006,2
2006,23
2006,1
2006,1
2006,26
2006,8
2006,7
2006,19
2006,25
2006,7
2006,1
2006,3
2006,4
2006,4
2006,3
2006,6
2006,1
2006,5
2006,3
2006,5
2006,6
2006,3
2006,46
2006,1
2006,16
2006,8
2006,1
2006,33
2006,4
2006,1
2006,2
2006,1
2006,20
2006,1
2006,27
2006,1
2006,8
2006,9
2006,15
2006,31
2006,12
2006,3
2006,11
2006,5
2006,4
2006,2
2006,13
2006,1
2006,5
2006,6
2006,4
2006,1
2006,40
2006,25
2006,4
2006,2
2006,17
2006,5
2006,1
2006,15
2006,1
2006,23
2006,7
2006,8
2006,21
2006,33
2006,12
2006,5
2006,11
2006,5
2006,4
2006,7
2006,5
2006,2
2006,3
2006,4
2006,5
2006,3
2006,42
2006,1
2006,18
2006,2
2006,5
2006,20
2006,1
2006,1
2006,1
2006,19
2006,37
2006,1
2006,1
2006,2
2006,9
2006,3
2006,14
2006,10
2006,10
2006,1
2006,2
2006,2
2006,1
2006,3
2006,3
2006,6
2006,1
2006,3
2006,2
2006,4
2006,38
2006,23
2006,6
2006,4
2006,30
2006,1
2006,1
2006,1
2006,1
2006,21
2006,1
2006,31
2006,1
2006,1
2006,11
2006,13
2006,7
2006,23
2006,14
2006,4
2006,1
2006,5
2006,4
2006,3
2006,4
2006,1
2006,2
2006,1
2006,37
2006,1
2006,23
2006,13
2006,3
2006,19
2006,2
2006,1
2006,1
2006,13
2006,29
2006,1
2006,10
2006,8
2006,4
2006,14
2006,12
2006,3
2006,1
2006,1
2006,4
2006,5
2006,5
2006,2
2006,2
2006,1
2006,2
2006,40
2006,23
2006,15
2006,1
2006,21
2006,2
2006,14
2006,36
2006,12
2006,6
2006,13
2006,28
2006,13
2006,1
2006,5
2006,7
2006,1
2006,1
2006,3
2006,6
2006,10
2006,3
2006,5
2006,4
2006,1
2006,45
2006,11
2006,4
2006,1
2006,24
2006,2
2006,3
2006,1
2006,20
2006,41
2006,1
2006,1
2006,18
2006,7
2006,18
2006,26
2006,13
2006,7
2006,7
2006,1
2006,1
2006,8
2006,2
2006,7
2006,4
2006,1
2006,1
2006,5
2006,5
2006,4
2006,46
2006,21
2006,3
2006,5
2006,31
2006,1
2006,1
2006,2
2006,1
2006,13
2006,1
2006,48
2007,5
2007,10
2007,5
2007,19
2007,35
2007,13
2007,7
2007,4
2007,2
2007,5
2007,6
2007,3
2007,4
2007,2
2007,9
2007,6
2007,2
2007,7
2007,45
2007,1
2007,17
2007,6
2007,6
2007,29
2007,3
2007,5
2007,1
2007,1
2007,4
2007,1
2007,30
2007,1
2007,32
2007,2
2007,24
2007,4
2007,24
2007,30
2007,11
2007,3
2007,7
2007,1
2007,4
2007,1
2007,3
2007,4
2007,2
2007,6
2007,7
2007,2
2007,51
2007,1
2007,24
2007,6
2007,5
2007,29
2007,7
2007,1
2007,1
2007,1
2007,4
2007,17
2007,1
2007,2
2007,29
2007,8
2007,6
2007,14
2007,18
2007,9
2007,3
2007,6
2007,2
2007,2
2007,3
2007,5
2007,4
2007,4
2007,7
2007,1
2007,3
2007,1
2007,34
2007,30
2007,10
2007,1
2007,23
2007,2
2007,1
2007,1
2007,2
2007,14
2007,2
2007,36
2007,1
2007,1
2007,1
2007,11
2007,6
2007,11
2007,18
2007,5
2007,1
2007,2
2007,1
2007,1
2007,1
2007,3
2007,4
2007,1
2007,2
2007,1
2007,34
2007,40
2007,13
2007,30
2007,1
2007,2
2007,17
2007,1
2007,35
2007,1
2007,2
2007,8
2007,9
2007,10
2007,20
2007,6
2007,2
2007,1
2007,3
2007,2
2007,11
2007,2
2007,2
2007,3
2007,48
2007,1
2007,23
2007,3
2007,1
2007,1
2007,23
2007,2
2007,2
2007,1
2007,2
2007,22
2007,37
2007,1
2007,11
2007,3
2007,12
2007,17
2007,6
2007,1
2007,4
2007,3
2007,2
2007,1
2007,3
2007,7
2007,2
2007,5
2007,6
2007,6
2007,32
2007,23
2007,2
2007,5
2007,21
2007,2
2007,1
2007,11
2007,1
2007,35
2007,1
2007,8
2007,9
2007,15
2007,21
2007,10
2007,7
2007,6
2007,1
2007,1
2007,2
2007,2
2007,5
2007,6
2007,1
2007,2
2007,5
2007,5
2007,48
2007,1
2007,20
2007,2
2007,7
2007,1
2007,17
2007,6
2007,1
2007,1
2007,9
2007,1
2007,35
2007,2
2007,15
2007,5
2007,16
2007,20
2007,6
2007,1
2007,3
2007,6
2007,2
2007,1
2007,2
2007,9
2007,2
2007,8
2007,4
2007,1
2007,38
2007,24
2007,2
2007,2
2007,15
2007,5
2007,2
2007,2
2007,2
2007,1
2007,15
2007,1
2007,29
2007,1
2007,14
2007,6
2007,15
2007,19
2007,9
2007,1
2007,5
2007,5
2007,2
2007,4
2007,4
2007,4
2007,2
2007,3
2007,2
2007,6
2007,3
2007,38
2007,1
2007,22
2007,3
2007,6
2007,22
2007,1
2007,2
2007,1
2007,5
2007,12
2007,1
2007,40
2007,2
2007,2
2007,6
2007,14
2007,18
2007,21
2007,11
2007,2
2007,3
2007,2
2007,5
2007,7
2007,1
2007,3
2007,6
2007,1
2007,45
2007,29
2007,6
2007,2
2007,23
2007,2
2007,1
2007,3
2007,1
2007,21
2007,29
2007,8
2007,8
2007,11
2007,10
2007,7
2007,1
2007,1
2007,1
2007,1
2007,1
2007,1
2007,4
2007,2
2007,6
2007,4
2007,3
2007,1
2007,2
2007,24
2007,25
2007,7
2007,1
2007,22
2007,1
2007,3
2007,2
2007,2
2007,12
2007,32
2007,1
2007,16
2007,6
2007,17
2007,11
2007,10
2007,6
2007,1
2007,5
2007,3
2007,3
2007,5
2007,5
2007,8
2007,7
2007,38
2007,2
2007,28
2007,2
2007,5
2007,23
2007,1
2007,1
2007,1
2007,1
2007,24
2007,31
2007,14
2007,7
2007,21
2007,26
2007,8
2007,1
2007,1
2007,4
2007,5
2007,3
2007,6
2007,1
2007,4
2007,11
2007,4
2007,2
2007,34
2007,30
2007,2
2007,4
2007,20
2007,3
2007,4
2007,1
2007,17
2007,38
2007,2
2007,12
2007,4
2007,15
2007,12
2007,5
2007,6
2007,3
2007,1
2007,2
2007,2
2007,2
2007,3
2007,3
2007,2
2007,2
2007,2
2007,1
2007,38
2007,26
2007,9
2007,3
2007,2
2007,20
2007,3
2007,2
2007,23
2007,1
2007,25
2007,11
2007,6
2007,10
2007,17
2007,9
2007,1
2007,5
2007,1
2007,3
2007,1
2007,3
2007,2
2007,3
2007,1
2007,7
2007,4
2007,3
2007,2
2007,1
2007,45
2007,24
2007,1
2007,4
2007,24
2007,1
2007,1
2007,23
2007,1
2007,38
2007,1
2007,15
2007,7
2007,26
2007,23
2007,7
2007,2
2007,5
2007,5
2007,1
2007,3
2007,3
2007,6
2007,5
2007,4
2007,5
2007,3
2007,1
2007,46
2007,1
2007,27
2007,3
2007,1
2007,28
2007,1
2007,2
2007,1
2007,1
2007,2
2007,24
2007,2
2007,34
2007,13
2007,7
2007,16
2007,26
2007,10
2007,2
2007,7
2007,1
2007,2
2007,4
2007,1
2007,5
2007,3
2007,1
2007,2
2007,6
2007,50
2007,23
2007,10
2007,1
2007,27
2007,1
2007,3
2007,3
2007,2
2007,18
2007,1
2007,34
2007,1
2007,4
2007,6
2007,13
2007,23
2007,4
2007,2
2007,6
2007,1
2007,1
2007,2
2007,3
2007,2
2007,1
2007,2
2007,1
2007,1
2007,45
2007,1
2007,24
2007,5
2007,3
2007,22
2007,1
2007,3
2007,20
2007,4
2007,31
2007,1
2007,4
2007,7
2007,10
2007,21
2007,6
2007,2
2007,3
2007,1
2007,3
2007,4
2007,2
2007,3
2007,3
2007,1
2007,31
2007,1
2007,22
2007,9
2007,4
2007,29
2007,2
2007,2
2007,2
2007,2
2007,1
2007,18
2007,1
2007,26
2007,2
2007,8
2007,9
2007,22
2007,25
2007,12
2007,1
2007,5
2007,5
2007,1
2007,1
2007,2
2007,3
2007,11
2007,1
2007,5
2007,6
2007,1
2007,46
2007,32
2007,1
2007,3
2007,21
2007,2
2007,2
2007,1
2007,2
2007,3
2007,18
2007,2
2007,35
2007,2
2007,10
2007,6
2007,17
2007,19
2007,12
2007,2
2007,5
2007,6
2007,1
2007,1
2007,3
2007,1
2007,5
2007,4
2007,6
2007,4
2007,1
2007,51
2007,22
2007,3
2007,2
2007,29
2007,3
2007,1
2007,3
2007,18
2007,36
2007,13
2007,4
2007,13
2007,18
2007,5
2007,8
2007,7
2007,1
2007,2
2007,1
2007,2
2007,12
2007,1
2007,2
2007,2
2007,5
2007,3
2007,43
2007,24
2007,1
2007,3
2007,28
2007,3
2007,1
2007,1
2007,1
2007,10
2007,37
2007,1
2007,2
2007,16
2007,6
2007,20
2007,19
2007,14
2007,1
2007,2
2007,1
2007,4
2007,4
2007,5
2007,8
2007,2
2007,2
2007,6
2007,5
2007,2
2007,42
2007,23
2007,1
2007,8
2007,3
2007,19
2007,2
2007,2
2007,1
2007,1
2007,3
2007,25
2007,21
2007,1
2007,9
2007,7
2007,15
2007,25
2007,19
2007,4
2007,6
2007,1
2007,5
2007,4
2007,5
2007,1
2007,8
2007,1
2007,12
2007,6
2007,47
2007,2
2007,34
2007,10
2007,6
2007,29
2007,1
2007,1
2007,1
2007,21
2007,1
2007,42
2007,1
2007,7
2007,4
2007,14
2007,19
2007,10
2007,1
2007,1
2007,5
2007,1
2007,8
2007,1
2007,1
2007,4
2007,3
2007,1
2007,46
2007,32
2007,1
2007,1
2007,29
2007,4
2007,1
2007,2
2007,19
2007,1
2007,26
2007,1
2007,1
2007,15
2007,8
2007,17
2007,20
2007,9
2007,4
2007,1
2007,1
2007,1
2007,2
2007,2
2007,10
2007,1
2007,2
2007,2
2007,2
2007,2
2007,35
2007,29
2007,2
2007,31
2007,4
2007,2
2007,5
2007,28
2007,33
2007,9
2007,10
2007,20
2007,16
2007,10
2007,1
2007,3
2007,6
2007,1
2007,2
2007,1
2007,3
2007,7
2007,1
2007,1
2007,4
2007,2
2007,3
2007,57
2007,1
2007,23
2007,1
2007,4
2007,28
2007,3
2007,1
2007,3
2007,1
2007,22
2007,2
2007,37
2007,1
2007,12
2007,10
2007,15
2007,16
2007,12
2007,7
2007,3
2007,4
2007,2
2007,4
2007,1
2007,1
2007,6
2007,2
2007,1
2007,2
2007,3
2007,44
2007,21
2007,6
2007,1
2007,38
2007,5
2007,1
2007,2
2007,1
2007,21
2007,38
2007,1
2008,3
2008,11
2008,4
2008,25
2008,39
2008,10
2008,15
2008,3
2008,1
2008,1
2008,4
2008,1
2008,6
2008,7
2008,1
2008,1
2008,4
2008,4
2008,1
2008,4
2008,49
2008,29
2008,8
2008,9
2008,32
2008,7
2008,3
2008,3
2008,1
2008,30
2008,1
2008,47
2008,1
2008,9
2008,10
2008,11
2008,22
2008,10
2008,2
2008,3
2008,2
2008,5
2008,5
2008,9
2008,7
2008,1
2008,2
2008,5
2008,1
2008,45
2008,1
2008,22
2008,9
2008,3
2008,41
2008,5
2008,1
2008,2
2008,2
2008,22
2008,29
2008,1
2008,7
2008,6
2008,12
2008,15
2008,12
2008,1
2008,2
2008,2
2008,1
2008,1
2008,9
2008,1
2008,6
2008,1
2008,1
2008,3
2008,3
2008,37
2008,1
2008,39
2008,7
2008,4
2008,30
2008,5
2008,1
2008,1
2008,1
2008,4
2008,1
2008,14
2008,2
2008,22
2008,6
2008,8
2008,18
2008,25
2008,6
2008,4
2008,1
2008,3
2008,2
2008,3
2008,5
2008,2
2008,3
2008,4
2008,1
2008,48
2008,32
2008,2
2008,2
2008,27
2008,5
2008,1
2008,3
2008,1
2008,13
2008,43
2008,8
2008,4
2008,20
2008,32
2008,8
2008,2
2008,3
2008,1
2008,1
2008,3
2008,2
2008,7
2008,7
2008,2
2008,2
2008,5
2008,3
2008,55
2008,1
2008,25
2008,2
2008,2
2008,40
2008,3
2008,1
2008,1
2008,4
2008,2
2008,13
2008,2
2008,25
2008,1
2008,2
2008,22
2008,9
2008,26
2008,24
2008,9
2008,1
2008,4
2008,6
2008,2
2008,1
2008,5
2008,3
2008,5
2008,6
2008,3
2008,2
2008,4
2008,7
2008,1
2008,49
2008,25
2008,3
2008,2
2008,32
2008,5
2008,2
2008,6
2008,1
2008,13
2008,1
2008,35
2008,6
2008,6
2008,23
2008,17
2008,10
2008,9
2008,3
2008,1
2008,5
2008,3
2008,2
2008,2
2008,2
2008,5
2008,8
2008,10
2008,46
2008,22
2008,9
2008,3
2008,29
2008,5
2008,1
2008,2
2008,15
2008,38
2008,16
2008,3
2008,21
2008,26
2008,7
2008,2
2008,3
2008,2
2008,2
2008,4
2008,3
2008,10
2008,5
2008,3
2008,2
2008,5
2008,6
2008,51
2008,3
2008,19
2008,6
2008,1
2008,1
2008,24
2008,5
2008,2
2008,6
2008,27
2008,1
2008,49
2008,1
2008,13
2008,8
2008,12
2008,22
2008,6
2008,2
2008,4
2008,2
2008,3
2008,6
2008,9
2008,2
2008,2
2008,3
2008,4
2008,3
2008,46
2008,31
2008,10
2008,1
2008,29
2008,2
2008,2
2008,2
2008,9
2008,2
2008,29
2008,1
2008,1
2008,8
2008,12
2008,12
2008,16
2008,6
2008,3
2008,3
2008,1
2008,3
2008,7
2008,1
2008,5
2008,2
2008,2
2008,3
2008,4
2008,30
2008,1
2008,36
2008,8
2008,5
2008,33
2008,4
2008,1
2008,5
2008,22
2008,30
2008,2
2008,13
2008,6
2008,7
2008,21
2008,7
2008,1
2008,4
2008,3
2008,1
2008,1
2008,3
2008,7
2008,3
2008,2
2008,2
2008,1
2008,1
2008,1
2008,46
2008,1
2008,20
2008,2
2008,4
2008,33
2008,1
2008,1
2008,1
2008,17
2008,30
2008,1
2008,8
2008,3
2008,21
2008,20
2008,9
2008,4
2008,3
2008,1
2008,3
2008,8
2008,6
2008,3
2008,2
2008,3
2008,41
2008,17
2008,5
2008,2
2008,20
2008,2
2008,1
2008,3
2008,15
2008,1
2008,14
2008,14
2008,6
2008,17
2008,19
2008,5
2008,3
2008,1
2008,1
2008,4
2008,1
2008,4
2008,1
2008,4
2008,1
2008,2
2008,2
2008,5
2008,2
2008,45
2008,1
2008,20
2008,1
2008,2
2008,22
2008,3
2008,1
2008,4
2008,17
2008,26
2008,3
2008,10
2008,7
2008,14
2008,22
2008,6
2008,1
2008,4
2008,6
2008,1
2008,2
2008,5
2008,6
2008,2
2008,1
2008,8
2008,1
2008,3
2008,38
2008,1
2008,12
2008,4
2008,1
2008,1
2008,30
2008,4
2008,3
2008,1
2008,1
2008,4
2008,16
2008,33
2008,1
2008,2
2008,11
2008,10
2008,12
2008,29
2008,9
2008,6
2008,2
2008,1
2008,9
2008,2
2008,3
2008,8
2008,2
2008,6
2008,5
2008,2
2008,56
2008,25
2008,1
2008,1
2008,2
2008,38
2008,2
2008,4
2008,1
2008,6
2008,2
2008,23
2008,2
2008,1
2008,48
2008,1
2008,2
2008,8
2008,13
2008,11
2008,17
2008,9
2008,4
2008,4
2008,1
2008,6
2008,5
2008,7
2008,5
2008,1
2008,4
2008,3
2008,1
2008,41
2008,1
2008,21
2008,1
2008,7
2008,3
2008,42
2008,5
2008,1
2008,2
2008,1
2008,22
2008,1
2008,1
2008,33
2008,6
2008,6
2008,14
2008,13
2008,8
2008,3
2008,3
2008,4
2008,1
2008,2
2008,2
2008,10
2008,4
2008,1
2008,1
2008,1
2008,38
2008,31
2008,1
2008,8
2008,4
2008,34
2008,1
2008,1
2008,1
2008,1
2008,4
2008,9
2008,17
2008,1
2008,1
2008,10
2008,6
2008,11
2008,19
2008,11
2008,2
2008,2
2008,2
2008,1
2008,1
2008,4
2008,2
2008,6
2008,2
2008,4
2008,1
2008,43
2008,18
2008,3
2008,1
2008,37
2008,1
2008,1
2008,1
2008,3
2008,1
2008,21
2008,1
2008,38
2008,1
2008,6
2008,8
2008,16
2008,25
2008,9
2008,3
2008,7
2008,1
2008,5
2008,3
2008,3
2008,5
2008,6
2008,3
2008,3
2008,6
2008,3
2008,40
2008,21
2008,2
2008,5
2008,26
2008,3
2008,2
2008,2
2008,4
2008,2
2008,18
2008,2
2008,34
2008,1
2008,1
2008,1
2008,2
2008,12
2008,5
2008,11
2008,25
2008,5
2008,1
2008,3
2008,3
2008,7
2008,3
2008,6
2008,13
2008,2
2008,2
2008,5
2008,1
2008,35
2008,25
2008,1
2008,6
2008,28
2008,3
2008,2
2008,1
2008,5
2008,1
2008,19
2008,1
2008,38
2008,1
2008,6
2008,4
2008,20
2008,23
2008,14
2008,1
2008,5
2008,4
2008,2
2008,3
2008,3
2008,5
2008,2
2008,3
2008,1
2008,48
2008,23
2008,2
2008,6
2008,18
2008,5
2008,1
2008,1
2008,2
2008,24
2008,1
2008,35
2008,1
2008,2
2008,8
2008,7
2008,7
2008,17
2008,8
2008,7
2008,2
2008,1
2008,3
2008,3
2008,2
2008,5
2008,1
2008,1
2008,4
2008,1
2008,37
2008,28
2008,2
2008,7
2008,19
2008,3
2008,1
2008,1
2008,1
2008,17
2008,32
2008,1
2008,11
2008,9
2008,12
2008,17
2008,12
2008,4
2008,2
2008,4
2008,4
2008,5
2008,1
2008,2
2008,1
2008,3
2008,3
2008,6
2008,2
2008,40
2008,18
2008,6
2008,11
2008,15
2008,4
2008,1
2008,1
2008,1
2008,18
2008,40
2008,2
2008,5
2008,8
2008,8
2008,13
2008,9
2008,2
2008,1
2008,1
2008,5
2008,4
2008,6
2008,1
2008,1
2008,2
2008,5
2008,2
2008,43
2008,2
2008,32
2008,7
2008,4
2008,38
2008,1
2008,2
2008,3
2008,1
2008,19
2008,41
2008,1
2008,8
2008,3
2008,14
2008,18
2008,7
2008,3
2008,4
2008,1
2008,1
2008,1
2008,4
2008,8
2008,2
2008,2
2008,2
2008,1
2008,45
2008,17
2008,6
2008,7
2008,31
2008,4
2008,1
2008,5
2008,19
2008,1
2008,26
2008,12
2008,9
2008,19
2008,15
2008,6
2008,5
2008,2
2008,2
2008,5
2008,2
2008,7
2008,6
2008,4
2008,2
2008,3
2008,1
2008,32
2008,19
2008,6
2008,5
2008,25
2008,5
2008,1
2008,3
2008,2
2008,16
2008,2
2008,42
2008,16
2008,6
2008,19
2008,28
2008,7
2008,1
2008,5
2008,3
2008,5
2008,1
2008,6
2008,4
2008,1
2008,1
2008,2
2008,4
2008,1
2008,46
2008,31
2008,6
2008,1
2008,50
2008,2
2008,6
2008,1
2008,15
2008,1
2008,2
2008,27
2008,10
2008,4
2008,10
2008,25
2008,8
2008,3
2008,5
2008,2
2008,1
2008,2
2008,2
2008,10
2008,2
2008,6
2008,3
2008,1
2008,5
2008,51
2008,35
2008,4
2008,4
2008,21
2008,7
2008,5
2008,26
2008,1
2008,35
2008,1
2008,1
2008,10
2008,8
2008,12
2008,13
2008,10
2008,1
2008,5
2008,5
2008,4
2008,2
2008,4
2008,2
2008,1
2008,1
2008,3
2008,6
2008,3
2008,38
2008,25
2008,1
2008,6
2008,7
2008,24
2008,1
2008,1
2008,1
2008,1
2008,7
2008,2
2008,16
2008,1
2008,38
2009,2
2009,3
2009,4
2009,12
2009,11
2009,23
2009,12
2009,8
2009,4
2009,1
2009,7
2009,2
2009,3
2009,5
2009,4
2009,2
2009,4
2009,3
2009,37
2009,1
2009,40
2009,7
2009,3
2009,52
2009,2
2009,1
2009,4
2009,2
2009,27
2009,4
2009,33
2009,1
2009,13
2009,5
2009,17
2009,15
2009,7
2009,1
2009,5
2009,8
2009,2
2009,3
2009,3
2009,2
2009,4
2009,4
2009,43
2009,17
2009,5
2009,3
2009,28
2009,2
2009,1
2009,5
2009,1
2009,23
2009,1
2009,35
2009,6
2009,9
2009,17
2009,14
2009,2
2009,4
2009,1
2009,2
2009,3
2009,2
2009,5
2009,1
2009,6
2009,1
2009,5
2009,2
2009,2
2009,48
2009,1
2009,21
2009,1
2009,3
2009,15
2009,2
2009,20
2009,20
2009,1
2009,7
2009,15
2009,10
2009,15
2009,7
2009,1
2009,4
2009,2
2009,3
2009,2
2009,1
2009,5
2009,1
2009,4
2009,8
2009,7
2009,2
2009,40
2009,1
2009,23
2009,6
2009,5
2009,35
2009,3
2009,4
2009,20
2009,29
2009,2
2009,11
2009,5
2009,7
2009,16
2009,4
2009,3
2009,1
2009,1
2009,6
2009,5
2009,7
2009,10
2009,3
2009,7
2009,6
2009,38
2009,20
2009,3
2009,3
2009,26
2009,3
2009,2
2009,1
2009,7
2009,17
2009,1
2009,27
2009,1
2009,8
2009,5
2009,17
2009,21
2009,6
2009,1
2009,3
2009,6
2009,4
2009,2
2009,1
2009,6
2009,2
2009,3
2009,2
2009,8
2009,1
2009,1
2009,34
2009,27
2009,11
2009,1
2009,39
2009,1
2009,1
2009,1
2009,4
2009,3
2009,13
2009,27
2009,1
2009,1
2009,1
2009,3
2009,10
2009,4
2009,12
2009,13
2009,10
2009,2
2009,5
2009,1
2009,4
2009,4
2009,1
2009,3
2009,1
2009,4
2009,6
2009,11
2009,2
2009,26
2009,30
2009,7
2009,2
2009,29
2009,1
2009,1
2009,2
2009,1
2009,23
2009,31
2009,1
2009,11
2009,15
2009,6
2009,15
2009,9
2009,1
2009,2
2009,5
2009,10
2009,1
2009,3
2009,2
2009,3
2009,29
2009,1
2009,35
2009,6
2009,3
2009,19
2009,1
2009,1
2009,2
2009,5
2009,18
2009,1
2009,34
2009,10
2009,13
2009,12
2009,20
2009,6
2009,7
2009,1
2009,2
2009,1
2009,1
2009,1
2009,1
2009,3
2009,1
2009,5
2009,1
2009,4
2009,1
2009,42
2009,32
2009,2
2009,1
2009,30
2009,1
2009,12
2009,2
2009,39
2009,1
2009,12
2009,9
2009,11
2009,33
2009,5
2009,4
2009,5
2009,1
2009,2
2009,2
2009,5
2009,6
2009,1
2009,4
2009,6
2009,3
2009,1
2009,53
2009,33
2009,1
2009,5
2009,18
2009,2
2009,2
2009,3
2009,21
2009,50
2009,1
2009,15
2009,5
2009,25
2009,26
2009,6
2009,1
2009,2
2009,1
2009,1
2009,2
2009,6
2009,3
2009,1
2009,7
2009,1
2009,7
2009,7
